Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0014631,-0.00014888,-0.00304,0,0,0,2.2,0.0013473,-5.7062E-07,-3.8658E-06,0.0024951,4.4539E-07,0.0032361,0,0,0,0,0,0,package://dingo_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/base_link.STL,,Link0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_link1,0.0099246,0.0072705,0.0095717,0,0,0,0.2,3.5552E-05,4.3357E-08,2.126E-08,3.3482E-05,-1.3221E-07,1.9902E-05,0,0,0,0,0,0,package://dingo_description/meshes/FL_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FL_link1.STL,,Link1_FrontLeft-1,Origin_FL_theta1,Axis_FL_theta1,FL_theta1,continuous,0.11165,0.061,-0.0144,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
FL_link2,0.04716,-9.1E-06,0.0027797,0,0,0,0.05,2.7283E-06,-6.5997E-10,1.8046E-06,7.2343E-05,-2.0176E-09,7.3964E-05,0,0,0,0,0,0,package://dingo_description/meshes/FL_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FL_link2.STL,,Link2_Left-2,Origin_FL_theta2,Axis_FL_theta2,FL_theta2,continuous,0.0496000007984339,0.014400000013256,0,1.57079634307336,1.57079568414183,-1.57079631051644,FL_link1,0,0,1,,,,,,,,,,,,
FL_link3,0.050883,0.0040212,0.00066702,0,0,0,0.05,4.9316E-06,-7.1103E-06,2.5244E-06,8.9179E-05,2.3247E-07,8.8368E-05,0,0,0,0,0,0,package://dingo_description/meshes/FL_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FL_link3.STL,,Link3_left-2,Origin_FL_theta3,Axis_FL_theta3,FL_theta3,continuous,0.129999999999897,0,0,0,0,1.57079594774422,FL_link2,0,0,1,,,,,,,,,,,,
FL_link4,-0.0035222,0.0032708,7.8202E-12,0,0,0,0.01,4.34E-08,-1.0272E-08,-3.4038E-16,4.1878E-08,3.1906E-16,3.2338E-08,0,0,0,0,0,0,package://dingo_description/meshes/FL_link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FL_link4.STL,,Link4-2,Origin_FL_foot,Axis_FL_foot,FL_foot,fixed,0.138136646352288,0,0,0,0,0,FL_link3,0,0,0,,,,,,,,,,,,
FR_link1,-0.0099246,0.0072016,0.009573,0,0,0,0.2,3.5552E-05,4.3356E-08,-2.0644E-08,3.3482E-05,-1.3216E-07,1.9902E-05,0,0,0,0,0,0,package://dingo_description/meshes/FR_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FR_link1.STL,,Link1_FrontRight-1,Origin_FR_theta1,Axis_FR_theta1,FR_theta1,continuous,0.111650000000002,-0.0609999999999988,-0.0144000000000242,1.57079632679492,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
FR_link2,0.047105,-3.823E-07,-0.0027801,0,0,0,0.05,2.7284E-06,-2.0045E-09,-1.7926E-06,7.2365E-05,8.4078E-11,7.3986E-05,0,0,0,0,0,0,package://dingo_description/meshes/FR_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FR_link2.STL,,Link2_Right-2,Origin_FR_theta2,Axis_FR_theta2,FR_theta2,continuous,-0.0495999992169121,0.0144000000000242,0,1.57079632309575,1.57079572077363,-1.57079633049404,FR_link1,0,0,1,,,,,,,,,,,,
FR_link3,0.050883,0.0040212,-0.00066701,0,0,0,0.05,4.9316E-06,-7.1103E-06,-2.5245E-06,8.9179E-05,-2.3248E-07,8.8368E-05,0,0,0,0,0,0,package://dingo_description/meshes/FR_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FR_link3.STL,,Link3_Right-2,Origin_FR_theta3,Axis_FR_theta3,FR_theta3,continuous,0.13000000353672,0,0,0,0,1.57079598438978,FR_link2,0,0,1,,,,,,,,,,,,
FR_link4,-0.0035222,0.0032708,6.3288E-11,0,0,0,0.01,4.34E-08,-1.0272E-08,-5.1458E-16,4.1878E-08,4.8083E-16,3.2338E-08,0,0,0,0,0,0,package://dingo_description/meshes/FR_link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/FR_link4.STL,,Link4-4,Origin_FR_foot,Axis_FR_foot,FR_foot,fixed,0.13813664635243,0,0,0,0,0,FR_link3,0,0,0,,,,,,,,,,,,
RL_link1,0.0099246,0.0072017,0.010375,0,0,0,0.2,3.5552E-05,-4.3357E-08,2.0644E-08,3.3482E-05,-1.3221E-07,1.9902E-05,0,0,0,0,0,0,package://dingo_description/meshes/RL_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RL_link1.STL,,Link1_Rearleft-1,Origin_RL_theta1,Axis_RL_theta1,RL_theta1,continuous,-0.11165,0.061,-0.0144,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
RL_link2,0.04716,-9.1001E-06,0.0027797,0,0,0,0.05,2.7283E-06,-6.5997E-10,1.8046E-06,7.2343E-05,-2.0176E-09,7.3964E-05,0,0,0,0,0,0,package://dingo_description/meshes/RL_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RL_link2.STL,,Link2_Left-1,Origin_RL_theta2,Axis_RL_theta2,RL_theta2,continuous,0.0496000007984574,0.014399999996394,0,1.5707963301177,1.57079568414183,-1.57079632347209,RL_link1,0,0,1,,,,,,,,,,,,
RL_link3,0.050883,0.0040212,0.00066703,0,0,0,0.05,4.9316E-06,-7.1103E-06,2.5244E-06,8.9179E-05,2.3247E-07,8.8368E-05,0,0,0,0,0,0,package://dingo_description/meshes/RL_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RL_link3.STL,,Link3_left-1,Origin_RL_theta3,Axis_RL_theta3,RL_theta3,continuous,0.129999999994849,0,0,0,0,1.57079594787326,RL_link2,0,0,0.999999999999979,,,,,,,,,,,,
RL_link4,-0.0035222,0.0032708,6.3535E-10,0,0,0,0.01,4.34E-08,-1.0272E-08,-2.3143E-15,4.1878E-08,2.1487E-15,3.2338E-08,0,0,0,0,0,0,package://dingo_description/meshes/RL_link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RL_link4.STL,,Link4-1,Origin_RL_foot,Axis_RL_foot,RL_foot,fixed,0.138136646352323,0,0,0,0,0,RL_link3,0,0,0,,,,,,,,,,,,
RR_link1,0.0014631,-0.00014888,-0.00304,0,0,0,0.2,0.0013473,-5.7062E-07,-3.8658E-06,0.0024951,4.4539E-07,0.0032361,0,0,0,0,0,0,package://dingo_description/meshes/RR_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RR_link1.STL,,Link1_RearRight-1,Origin_RR_theta1,Axis_RR_theta1,RR_theta1,continuous,-0.111650000000003,-0.0609999999999995,-0.0144000000000178,1.57079632679492,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
RR_link2,0.047105,-3.823E-07,-0.0027801,0,0,0,0.05,2.7284E-06,-2.0045E-09,-1.7926E-06,7.2365E-05,8.4078E-11,7.3986E-05,0,0,0,0,0,0,package://dingo_description/meshes/RR_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RR_link2.STL,,Link2_Right-1,Origin_RR_theta2,Axis_RR_theta2,RR_theta2,continuous,-0.0495999992169147,0.0144000000000178,0,1.57079631992506,1.57079572077363,-1.57079633366473,RR_link1,0,0,1,,,,,,,,,,,,
RR_link3,0.050883,0.0040212,-0.00066701,0,0,0,0.05,4.9316E-06,-7.1103E-06,-2.5245E-06,8.9179E-05,-2.3248E-07,8.8368E-05,0,0,0,0,0,0,package://dingo_description/meshes/RR_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RR_link3.STL,,Link3_Right-1,Origin_RR_theta3,Axis_RR_theta3,RR_theta3,continuous,0.13000000353672,0,0,0,0,1.57079598438978,RR_link2,0,0,0.999999999999998,,,,,,,,,,,,
RR_link4,-0.0035222,0.0032708,7.8203E-12,0,0,0,0.01,4.34E-08,-1.0272E-08,-3.4038E-16,4.1878E-08,3.1906E-16,3.2338E-08,0,0,0,0,0,0,package://dingo_description/meshes/RR_link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dingo_description/meshes/RR_link4.STL,,Link4-3,Origin_RR_foot,Axis_RR_foot,RR_foot,fixed,0.138136646352431,0,0,0,0,0,RR_link3,0,0,0,,,,,,,,,,,,
